x,y,vel_x,vel_y
-0.241758,0.129257,-0.0124109,-0.0829967
-0.241899,0.128377,-0.0158041,-0.093122
-0.242076,0.127398,-0.0196269,-0.102165
-0.242292,0.126344,-0.0237014,-0.108189
-0.242551,0.125246,-0.028126,-0.110892
-0.242856,0.124135,-0.0330516,-0.110857
-0.243213,0.123034,-0.0384136,-0.109241
-0.243625,0.121952,-0.0438173,-0.107229
-0.244087,0.120891,-0.0484355,-0.104783
-0.244588,0.119859,-0.0514198,-0.101366
-0.24511,0.118866,-0.0526966,-0.0971121
-0.245636,0.117919,-0.0521206,-0.0922858
-0.246145,0.117021,-0.0493581,-0.0871435
-0.246614,0.116176,-0.0441151,-0.0820456
-0.247018,0.115379,-0.0362188,-0.0774115
-0.24733,0.114625,-0.0257537,-0.073631
-0.247527,0.113902,-0.0132922,-0.0711895
-0.247595,0.113197,-0.00034693,-0.0699876
-0.247539,0.112501,0.0111066,-0.0689877
-0.247381,0.111819,0.0200971,-0.0672598
-0.247144,0.11116,0.0267851,-0.0645326
-0.246852,0.110533,0.0312794,-0.0605482
-0.246526,0.109954,0.0336038,-0.0548142
-0.246186,0.109443,0.0342055,-0.0470764
-0.245846,0.109019,0.0336015,-0.0375525
-0.245517,0.108696,0.0319226,-0.0269321
-0.245211,0.108479,0.0292649,-0.0165561
-0.244935,0.108356,0.025736,-0.00882835
-0.244697,0.108282,0.0219922,-0.00747642
-0.24449,0.108168,0.0199223,-0.0175571
-0.244283,0.107873,0.0224904,-0.0449164
-0.24401,0.107195,0.0338825,-0.0946718
-0.243565,0.105903,0.0572966,-0.167426
-0.24283,0.103793,0.0910729,-0.256434
-0.241725,0.100752,0.130569,-0.35222
-0.240233,0.0967989,0.16561,-0.432819
-0.238464,0.0922199,0.185181,-0.475992
-0.236578,0.087386,0.190325,-0.487088
