id,t,x,y,z
"18716153","286","-0.270215","-0.150902","-0.0598937"
"18716154","287","-0.271322","-0.15189","-0.0591276"
"18716155","288","-0.272567","-0.152741","-0.0585171"
"18716156","289","-0.273853","-0.153457","-0.0580642"
"18716157","290","-0.275057","-0.154048","-0.0577642"
"18716158","291","-0.276052","-0.154526","-0.0576106"
"18716159","292","-0.276715","-0.154895","-0.0576003"
"18716160","293","-0.276944","-0.155151","-0.057736"
"18716161","294","-0.27667","-0.155288","-0.0580306"
"18716162","295","-0.275887","-0.155305","-0.0585088"
"18716163","296","-0.27467","-0.155215","-0.0592098"
"18716164","297","-0.273177","-0.155052","-0.0601783"
"18716165","298","-0.271632","-0.154864","-0.0614399"
"18716166","299","-0.270242","-0.154684","-0.0629556"
"18716167","300","-0.269067","-0.154502","-0.0646018"
"18716168","301","-0.267998","-0.154266","-0.0662904"
"18716169","302","-0.26687","-0.153918","-0.067975"
"18716170","303","-0.265528","-0.153403","-0.0696319"
"18716171","304","-0.263862","-0.152683","-0.0712505"
"18716172","305","-0.261816","-0.151728","-0.0728272"
"18716173","306","-0.259378","-0.15052","-0.0743616"
"18716174","307","-0.256574","-0.149055","-0.0758566"
"18716175","308","-0.253475","-0.147349","-0.07732"
"18716176","309","-0.25019","-0.145435","-0.0787653"
"18716177","310","-0.246838","-0.143352","-0.0802057"
"18716178","311","-0.243517","-0.141127","-0.0816452"
"18716179","312","-0.240294","-0.138784","-0.0830901"
"18716180","313","-0.237217","-0.136352","-0.0845582"
"18716181","314","-0.234329","-0.133856","-0.0860766"
"18716182","315","-0.231647","-0.131298","-0.0876658"
"18716183","316","-0.229076","-0.128617","-0.0893117"
"18716184","317","-0.226388","-0.12568","-0.0909522"
"18716185","318","-0.22339","-0.122366","-0.0925355"
"18716186","319","-0.22016","-0.118692","-0.094095"
"18716187","320","-0.217162","-0.114883","-0.0957823"
"18716188","321","-0.214892","-0.111154","-0.0977364"
"18716189","322","-0.213637","-0.107645","-0.0999987"
"18716190","323","-0.213285","-0.104424","-0.102434"
"18716191","324","-0.213524","-0.101534","-0.104826"
"18716192","325","-0.214588","-0.0990082","-0.107279"
"18716193","326","-0.217231","-0.0968873","-0.110192"
"18716194","327","-0.22191","-0.0951616","-0.113839"
"18716195","328","-0.228325","-0.0937478","-0.118139"
"18716196","329","-0.23496","-0.0924304","-0.122434"
"18716197","330","-0.239579","-0.0909355","-0.125711"
"18716198","331","-0.242521","-0.0893453","-0.128111"
"18716199","332","-0.244949","-0.0877982","-0.130177"
"18716200","333","-0.247476","-0.0863175","-0.132234"
