id,t,x,y,z
"2760869","230","0.253887","-0.00927227","-0.0183818"
"2760870","231","0.257467","-0.0085431","-0.0179866"
"2760871","232","0.26094","-0.00789069","-0.0175092"
"2760872","233","0.264287","-0.00730941","-0.0169647"
"2760873","234","0.267503","-0.00679599","-0.0163716"
"2760874","235","0.270605","-0.00633577","-0.0157468"
"2760875","236","0.273609","-0.00590663","-0.0150989"
"2760876","237","0.276526","-0.00548224","-0.0144197"
"2760877","238","0.279358","-0.00504086","-0.013689"
"2760878","239","0.28212","-0.00456228","-0.0128912"
"2760879","240","0.28483","-0.00404234","-0.0120316"
"2760880","241","0.287503","-0.0034793","-0.0111227"
"2760881","242","0.290158","-0.00286889","-0.0101798"
"2760882","243","0.292814","-0.00220142","-0.00922312"
"2760883","244","0.295477","-0.00147639","-0.00826447"
"2760884","245","0.298143","-0.000695762","-0.00730886"
"2760885","246","0.300792","0.00014726","-0.00635918"
"2760886","247","0.3034","0.00106268","-0.0054098"
"2760887","248","0.305941","0.00206429","-0.0044587"
"2760888","249","0.30839","0.00316683","-0.00350546"
"2760889","250","0.310726","0.00438542","-0.00255097"
"2760890","251","0.31295","0.00573574","-0.00160413"
"2760891","252","0.315105","0.00722889","-0.000691425"
"2760892","253","0.317288","0.00887382","0.000127139"
"2760893","254","0.319597","0.0106723","0.000783206"
"2760894","255","0.32203","0.0125722","0.00131407"
"2760895","256","0.324563","0.0145275","0.00175594"
"2760896","257","0.327171","0.0164976","0.00213712"
"2760897","258","0.32983","0.0184466","0.00248601"
"2760898","259","0.332523","0.0203601","0.00283624"
"2760899","260","0.335253","0.0222382","0.00322858"
"2760900","261","0.338008","0.0240775","0.00365463"
"2760901","262","0.340751","0.0258745","0.00408536"
"2760902","263","0.343472","0.0276277","0.0045123"
"2760903","264","0.346158","0.0293409","0.00492954"
"2760904","265","0.3488","0.0310206","0.00533167"
"2760905","266","0.351418","0.0326789","0.00571865"
"2760906","267","0.354021","0.0343333","0.00608842"
"2760907","268","0.35659","0.0360015","0.006432"
"2760908","269","0.359137","0.037692","0.00674757"
"2760909","270","0.361666","0.0394178","0.00704082"
"2760910","271","0.364176","0.0411856","0.00732506"
"2760911","272","0.366675","0.0429936","0.00762255"
"2760912","273","0.369169","0.0448333","0.00795094"
"2760913","274","0.371666","0.0466906","0.00831475"
"2760914","275","0.374182","0.0485633","0.00870016"
"2760915","276","0.376726","0.0504508","0.00909751"
"2760916","277","0.379318","0.0523479","0.00948537"
"2760917","278","0.38196","0.0542432","0.0098434"
"2760918","279","0.38464","0.0561272","0.0101648"
"2760919","280","0.387359","0.0579922","0.0104625"
"2760920","281","0.39011","0.0598325","0.0107423"
"2760921","282","0.392889","0.0616521","0.0110106"
"2760922","283","0.395689","0.0634553","0.0112725"
"2760923","284","0.398498","0.06524","0.0115224"
"2760924","285","0.401298","0.0670006","0.0117512"
"2760925","286","0.404071","0.0687224","0.011963"
"2760926","287","0.40683","0.0704059","0.0121797"
"2760927","288","0.409589","0.0720539","0.0124222"
"2760928","289","0.412355","0.0736643","0.0126929"
"2760929","290","0.415124","0.0752468","0.0129857"
"2760930","291","0.417877","0.0768155","0.0132877"
"2760931","292","0.420598","0.078381","0.0135842"
"2760932","293","0.423296","0.0799374","0.0138711"
"2760933","294","0.42598","0.0814767","0.0141511"
"2760934","295","0.428656","0.0830014","0.0144396"
"2760935","296","0.431323","0.0845168","0.0147533"
"2760936","297","0.433986","0.0860296","0.0150994"
"2760937","298","0.436645","0.0875446","0.0154771"
"2760938","299","0.439297","0.0890668","0.0158797"
"2760939","300","0.441939","0.0906013","0.0162846"
"2760940","301","0.444558","0.0921444","0.0166563"
"2760941","302","0.44714","0.0936867","0.0169595"
"2760942","303","0.449678","0.095228","0.017186"
"2760943","304","0.452176","0.0967656","0.0173001"
"2760944","305","0.454623","0.0983026","0.017324"
"2760945","306","0.457017","0.0998311","0.0173469"
"2760946","307","0.45937","0.101347","0.0174442"
"2760947","308","0.461692","0.102857","0.0175928"
"2760948","309","0.463979","0.104378","0.0177725"
"2760949","310","0.466228","0.105911","0.0179382"
"2760950","311","0.4684","0.107446","0.0180813"
"2760951","312","0.470437","0.108981","0.0182715"
"2760952","313","0.472286","0.110526","0.0185583"
"2760953","314","0.473915","0.112093","0.0189791"
"2760954","315","0.475341","0.113666","0.0195487"
